Year,China,Change
1960,2571289301,
1961,1937606629,0.246445498
1962,1913234219,0.012578616
1963,2031034203,-0.061571125
1964,2250385896,-0.108
1965,2563165164,-0.13898917
1966,2680965147,-0.045958796
1967,2388496222,0.109090909
1968,2339751401,0.020408163
1969,2429116906,-0.038194444
1970,2307254854,0.050167224
1971,2782516858,-0.205985915
1972,3692485858,-0.327030903
1973,5876143561,-0.591378759
1974,7107893127,-0.209618699
1975,7688998817,-0.081754984
1976,6943442876,0.096963982
1977,7519646894,-0.082985347
1978,6813008130,0.093972333
1979,9204347826,-0.350996161
1980,11300000000,-0.22768068
1981,14587301587,-0.290911645
1982,16324708464,-0.119104062
1983,16620333602,-0.018109061
1984,20518995638,-0.234571828
1985,25772442515,-0.256028461
1986,26223846553,-0.017514989
1987,28435553708,-0.08433954
1988,34405454469,-0.209944945
1989,31394221978,0.087521951
1990,44932593282,-0.431237675
1991,51511461986,-0.146416403
1992,57870749262,-0.12345383
1993,53358340207,0.077973918
1994,1.04607E+11,-0.960470374
1995,1.3187E+11,-0.260616573
1996,1.54812E+11,-0.173974512
1997,1.87447E+11,-0.210805292
1998,1.88748E+11,-0.006941024
1999,1.98697E+11,-0.052709851
2000,2.53095E+11,-0.273774379
2001,2.7206E+11,-0.074931755
2002,3.33002E+11,-0.224003154
2003,4.47958E+11,-0.345210646
2004,6.07357E+11,-0.355833784
2005,7.73339E+11,-0.273285875
2006,9.91731E+11,-0.282401871
2007,1.25806E+12,-0.26854591
2008,1.49787E+12,-0.190620954
2009,1.26266E+12,0.157026186
2010,1.65482E+12,-0.310574738
2011,2.0063E+12,-0.212398932
2012,2.17508E+12,-0.084127019
2013,2.35425E+12,-0.082373018
2014,2.46284E+12,-0.046125484
2015,2.36209E+12,0.040906668
2016,2.19997E+12,0.068636298
2017,2.4242E+12,-0.101925294
2018,2.65559E+12,-0.095450876
2019,2.62894E+12,0.010037883
2020,2.72325E+12,-0.035875752
2021,3.54855E+12,-0.303057891
